Role,Assigned Model
Game Designer 1,PaLM 2
Game Designer 2,PaLM 2
Artist/Graphic Designer 1,DALL-E 3
Artist/Graphic Designer 2,DALL-E 3
Artist/Graphic Designer 3,DALL-E 3
Software Developer/Programmer 1,PaLM 2
Software Developer/Programmer 2,PaLM 2
Software Developer/Programmer 3,LLaMA 3
Software Developer/Programmer 4,PaLM 2
Sound Designer/Music Composer 1,ElevenLabs
Quality Assurance Tester 1,Selenium AI
Quality Assurance Tester 2,Selenium AI
Project Manager 1,PaLM 2
Marketing Specialist 1,Personalizer
