officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Adilabad Collectorate S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226703,,Adilabad H.O,,
Adilabad H.O,504001,H.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226738,,,,
Agm Colony S.O,504251,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222138,,Mancherial H.O,,
Bellampalli R.S. S.O,504251,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222070,,Mancherial H.O,,
Bhagyanagar S.O (Adilabad),504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-232662,,Adilabad H.O,,
Bhuktapur S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-233035,,Adilabad H.O,,
Dasnapur Colony S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226772,,Adilabad H.O,,
Gandhi Chowk S.O (Adilabad),504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-222835,,Adilabad H.O,,
Grain Market S.O (Adilabad),504208,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mancherial,Adilabad,TELANGANA,08736-255546,,Mancherial H.O,,
Indiranagar S.O (Adilabad),504106,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,08734-242113,,Adilabad H.O,,
Industrial Area S.O (Adilabad),504296,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kagaznagar,Adilabad,TELANGANA,,,Mancherial H.O,,
Kasba S.O (Adilabad),504106,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,08734-242107,,Adilabad H.O,,
M.G. Road S.O,504296,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kagaznagar,Adilabad,TELANGANA,08738-235152,,Mancherial H.O,,
Mancherial Bazar S.O,504208,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mancherial,Adilabad,TELANGANA,08736-255538,,Mancherial H.O,,
Mancherial H.O,504208,H.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08736-252003,,,,
Mandamarri Colleries S.O,504231,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mandamarri,Adilabad,TELANGANA,08736-256800,,Mancherial H.O,,
Station Road S.O (Adilabad),504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226772,,Adilabad H.O,,
Bapujinagar S.O (Warangal),506003,S.O,Non-Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Hanamkonda,Warangal,TELANGANA,,,Hanamkonda H.O,,
Fatimanagar S.O,506004,S.O,Non-Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Hanamkonda,Warangal,TELANGANA,,,Hanamkonda H.O,,
Hanamkonda H.O,506001,H.O,Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Hanamkonda,Warangal,TELANGANA,0870-2455240,,,,
Jangaon H.O,506167,H.O,Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Jangaon,Warangal,TELANGANA,08716-222230,,,,
Lashkar Bazar S.O,506001,S.O,Non-Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Hanamkonda,Warangal,TELANGANA,,,Hanamkonda H.O,,
Naimnagar S.O,506009,S.O,Non-Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Hanamkonda,Warangal,TELANGANA,,,Hanamkonda H.O,,
Parkal H.O,506164,H.O,Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Parkal,Warangal,TELANGANA,08713-241203,,,,
Reddicolony S.O,506011,S.O,Non-Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Hanamkonda,Warangal,TELANGANA,,,Hanamkonda H.O,,
Subedari S.O,506001,S.O,Non-Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Hanamkonda,Warangal,TELANGANA,0870-2511016,,Hanamkonda H.O,,
Collectorate Complex S.O,505001,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Karimnagar,Karim Nagar,TELANGANA,,,Karimnagar H.O,,
Dist. Court Building S.O,505001,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Karimnagar,Karim Nagar,TELANGANA,,,Karimnagar H.O,,
Gandhichowk Srisilla S.O,505301,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Sircilla,Karim Nagar,TELANGANA,,,Jagtial H.O,,
Jagtial H.O,505327,H.O,Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Jagtial,Karim Nagar,TELANGANA,08724-225859,,,,
Jawaharnagar S.O (Karim Nagar),505001,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Karimnagar,Karim Nagar,TELANGANA,,,Karimnagar H.O,,
Jublikaman S.O,505001,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Karimnagar,Karim Nagar,TELANGANA,,,Karimnagar H.O,,
Karimnagar H.O,505001,H.O,Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Karimnagar,Karim Nagar,TELANGANA,0878-2240290,,,,
Khila Jagtial S.O,505327,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Jagtial,Karim Nagar,TELANGANA,,,Jagtial H.O,,
Koratla Bazar S.O,505326,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Koratla,Karim Nagar,TELANGANA,,,Jagtial H.O,,
Metpalli Bazar S.O,505325,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Metpalle,Karim Nagar,TELANGANA,,,Jagtial H.O,,
Mukarampura S.O,505001,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Karimnagar,Karim Nagar,TELANGANA,0878-2242181,,Karimnagar H.O,,
