SourceID,SourceType,TargetID,TargetType,Distance
4,VillageCooperative,24,DistrictCenter,46.50006554186238
16,VillageCooperative,24,DistrictCenter,47.90187630354405
21,VillageCooperative,13,DistrictCenter,36.429773431059004
21,VillageCooperative,18,DistrictCenter,37.84116068183184
22,VillageCooperative,5,DistrictCenter,46.50006554186238
22,VillageCooperative,31,DistrictCenter,49.51767321029924
22,VillageCooperative,62,DistrictCenter,33.23467891526046
22,VillageCooperative,69,DistrictCenter,46.27394912940082
29,VillageCooperative,24,DistrictCenter,49.51767321029924
34,VillageCooperative,5,DistrictCenter,48.537854810520365
34,VillageCooperative,31,DistrictCenter,43.620610196694386
34,VillageCooperative,62,DistrictCenter,32.65579172860729
34,VillageCooperative,69,DistrictCenter,42.22688183504189
39,VillageCooperative,24,DistrictCenter,48.8203100807068
41,VillageCooperative,24,DistrictCenter,42.26253306918093
42,VillageCooperative,24,DistrictCenter,38.76833603467919
43,VillageCooperative,24,DistrictCenter,47.361045394828494
44,VillageCooperative,24,DistrictCenter,38.616160341260134
45,VillageCooperative,24,DistrictCenter,41.938135299449634
46,VillageCooperative,24,DistrictCenter,44.10601162308409
47,VillageCooperative,24,DistrictCenter,37.92077406872984
48,VillageCooperative,24,DistrictCenter,43.3831565924353
59,VillageCooperative,24,DistrictCenter,33.23467891526046
59,VillageCooperative,69,DistrictCenter,24.62880794280018
66,VillageCooperative,24,DistrictCenter,46.27394912940082
66,VillageCooperative,62,DistrictCenter,24.62880794280018
73,VillageCooperative,69,DistrictCenter,37.92962311374688
77,VillageCooperative,69,DistrictCenter,37.18812467412082
79,VillageCooperative,50,DistrictCenter,43.563015530786565
79,VillageCooperative,62,DistrictCenter,49.692650184994385
79,VillageCooperative,69,DistrictCenter,38.482885093549825
81,VillageCooperative,62,DistrictCenter,47.39291451158586
81,VillageCooperative,69,DistrictCenter,31.581149799127633
83,VillageCooperative,50,DistrictCenter,43.56287486142006
83,VillageCooperative,62,DistrictCenter,49.692716526587546
83,VillageCooperative,69,DistrictCenter,38.483009159709724
85,VillageCooperative,50,DistrictCenter,43.48595248447812
85,VillageCooperative,62,DistrictCenter,47.46675689586381
85,VillageCooperative,69,DistrictCenter,36.70748095117476
87,VillageCooperative,50,DistrictCenter,43.18262617795011
87,VillageCooperative,62,DistrictCenter,40.30141821136392
87,VillageCooperative,69,DistrictCenter,31.94036854553583
89,VillageCooperative,50,DistrictCenter,38.04632808319113
89,VillageCooperative,54,DistrictCenter,49.4837513132123
95,VillageCooperative,62,DistrictCenter,47.3928582608457
95,VillageCooperative,69,DistrictCenter,31.58114092221633
105,VillageCooperative,62,DistrictCenter,33.722411580712254
106,VillageCooperative,62,DistrictCenter,37.95060481504668
107,VillageCooperative,62,DistrictCenter,25.331878961351077
107,VillageCooperative,69,DistrictCenter,20.364133927526357
108,VillageCooperative,62,DistrictCenter,24.17115770730059
109,VillageCooperative,24,DistrictCenter,49.69743886357766
109,VillageCooperative,69,DistrictCenter,30.31915812631577
110,VillageCooperative,24,DistrictCenter,41.39975501179199
111,VillageCooperative,62,DistrictCenter,26.799844917289523
111,VillageCooperative,69,DistrictCenter,46.44428633107513
112,VillageCooperative,62,DistrictCenter,26.799844917289523
112,VillageCooperative,69,DistrictCenter,46.44428633107513
113,VillageCooperative,62,DistrictCenter,26.799844917289523
113,VillageCooperative,69,DistrictCenter,46.44428633107513
114,VillageCooperative,98,DistrictCenter,42.81946718565252
114,VillageCooperative,102,DistrictCenter,42.81946718565252
115,VillageCooperative,24,DistrictCenter,47.69075592627967
116,VillageCooperative,24,DistrictCenter,38.67198458131504
117,VillageCooperative,24,DistrictCenter,45.21434135059328
118,VillageCooperative,24,DistrictCenter,39.44066425854371
119,VillageCooperative,24,DistrictCenter,45.768834454719965
121,VillageCooperative,24,DistrictCenter,39.96934741558871
122,VillageCooperative,24,DistrictCenter,44.27037760905389
123,VillageCooperative,24,DistrictCenter,41.05294958711806
124,VillageCooperative,24,DistrictCenter,28.554083666968115
124,VillageCooperative,69,DistrictCenter,20.754478806802766
125,VillageCooperative,24,DistrictCenter,28.554083666968115
125,VillageCooperative,69,DistrictCenter,20.754478806802766
129,VillageCooperative,62,DistrictCenter,44.97927329367485
129,VillageCooperative,69,DistrictCenter,27.171505290220406
131,VillageCooperative,50,DistrictCenter,36.573657537798915
131,VillageCooperative,62,DistrictCenter,36.98992045694001
131,VillageCooperative,69,DistrictCenter,35.712012854352785
137,VillageCooperative,69,DistrictCenter,37.92954040428499
143,VillageCooperative,50,DistrictCenter,30.717377503697627
143,VillageCooperative,69,DistrictCenter,49.31859735851003
145,VillageCooperative,50,DistrictCenter,33.22574226223628
149,VillageCooperative,62,DistrictCenter,49.42374313142244
149,VillageCooperative,69,DistrictCenter,32.948953078344964
159,VillageCooperative,69,DistrictCenter,37.92937498662955
165,VillageCooperative,50,DistrictCenter,43.5631562002238
165,VillageCooperative,62,DistrictCenter,49.69258384377304
165,VillageCooperative,69,DistrictCenter,38.48276102758544
167,VillageCooperative,50,DistrictCenter,43.56259352290106
167,VillageCooperative,62,DistrictCenter,49.69284921088857
167,VillageCooperative,69,DistrictCenter,38.48325729261449
169,VillageCooperative,50,DistrictCenter,42.45445350555935
169,VillageCooperative,62,DistrictCenter,46.98714898171053
169,VillageCooperative,69,DistrictCenter,36.87256838354509
171,VillageCooperative,50,DistrictCenter,43.56329686973208
171,VillageCooperative,62,DistrictCenter,49.692517502922904
171,VillageCooperative,69,DistrictCenter,38.48263696181588
173,VillageCooperative,50,DistrictCenter,43.18585938374988
173,VillageCooperative,62,DistrictCenter,25.558022122059974
173,VillageCooperative,69,DistrictCenter,33.029098677498574
175,VillageCooperative,62,DistrictCenter,37.938010177467866
177,VillageCooperative,62,DistrictCenter,47.39295129491511
177,VillageCooperative,69,DistrictCenter,31.581251701037623
179,VillageCooperative,50,DistrictCenter,40.173796325627116
179,VillageCooperative,69,DistrictCenter,41.44143673805953
181,VillageCooperative,69,DistrictCenter,38.2033144657977
183,VillageCooperative,69,DistrictCenter,37.929457695245674
185,VillageCooperative,69,DistrictCenter,38.2033144657977
187,VillageCooperative,69,DistrictCenter,37.929457695245674
189,VillageCooperative,50,DistrictCenter,36.573657537798915
189,VillageCooperative,62,DistrictCenter,36.98992045694001
189,VillageCooperative,69,DistrictCenter,35.712012854352785
191,VillageCooperative,69,DistrictCenter,37.9297058236313
193,VillageCooperative,50,DistrictCenter,39.47981182941878
193,VillageCooperative,62,DistrictCenter,34.87900486377114
193,VillageCooperative,69,DistrictCenter,32.808036455587306
197,VillageCooperative,5,DistrictCenter,38.01786867264991
197,VillageCooperative,9,DistrictCenter,46.78349935197563
198,VillageCooperative,5,DistrictCenter,41.415209910142316
198,VillageCooperative,9,DistrictCenter,42.03299849254189
199,VillageCooperative,5,DistrictCenter,43.00258029517235
199,VillageCooperative,9,DistrictCenter,46.55805960836724
200,VillageCooperative,5,DistrictCenter,41.761286955273164
200,VillageCooperative,9,DistrictCenter,42.185091498405164
201,VillageCooperative,5,DistrictCenter,20.90892254178291
201,VillageCooperative,24,DistrictCenter,44.47978282496936
202,VillageCooperative,5,DistrictCenter,34.46778595372931
204,VillageCooperative,18,DistrictCenter,26.682734426987807
210,VillageCooperative,18,DistrictCenter,45.243689112124066
211,VillageCooperative,13,DistrictCenter,34.41164749677009
212,VillageCooperative,62,DistrictCenter,41.25270869014615
212,VillageCooperative,69,DistrictCenter,22.906191852662946
214,VillageCooperative,50,DistrictCenter,30.717243794191553
214,VillageCooperative,69,DistrictCenter,49.31873518002079
216,VillageCooperative,50,DistrictCenter,30.71844718563566
216,VillageCooperative,69,DistrictCenter,49.317494789290215
218,VillageCooperative,69,DistrictCenter,37.929457695245674
224,VillageCooperative,69,DistrictCenter,45.608291112870866
232,VillageCooperative,50,DistrictCenter,43.56287486142006
232,VillageCooperative,62,DistrictCenter,49.692716526587546
232,VillageCooperative,69,DistrictCenter,38.483009159709724
234,VillageCooperative,50,DistrictCenter,38.62127090737659
234,VillageCooperative,62,DistrictCenter,36.83328875775629
234,VillageCooperative,69,DistrictCenter,33.86446059116701
236,VillageCooperative,50,DistrictCenter,47.302543315200396
236,VillageCooperative,69,DistrictCenter,40.232047106417546
238,VillageCooperative,50,DistrictCenter,41.406819477251126
238,VillageCooperative,62,DistrictCenter,49.0070740035686
238,VillageCooperative,69,DistrictCenter,38.98868947677967
240,VillageCooperative,50,DistrictCenter,43.563015530786565
240,VillageCooperative,62,DistrictCenter,49.692650184994385
240,VillageCooperative,69,DistrictCenter,38.482885093549825
246,VillageCooperative,69,DistrictCenter,31.618526310070965
248,VillageCooperative,50,DistrictCenter,44.7476614402442
248,VillageCooperative,62,DistrictCenter,41.43500110648501
248,VillageCooperative,69,DistrictCenter,31.638453896742238
250,VillageCooperative,62,DistrictCenter,47.39291451158586
250,VillageCooperative,69,DistrictCenter,31.581149799127633
252,VillageCooperative,50,DistrictCenter,30.717243794191553
252,VillageCooperative,69,DistrictCenter,49.31873518002079
254,VillageCooperative,50,DistrictCenter,40.877963092094326
254,VillageCooperative,69,DistrictCenter,41.27234450017652
256,VillageCooperative,62,DistrictCenter,48.527511717708144
256,VillageCooperative,69,DistrictCenter,34.19681564916217
258,VillageCooperative,69,DistrictCenter,37.92197134919843
260,VillageCooperative,69,DistrictCenter,37.92962311374688
262,VillageCooperative,69,DistrictCenter,37.92197134919843
264,VillageCooperative,69,DistrictCenter,37.929209570665975
266,VillageCooperative,13,DistrictCenter,30.474309520619208
267,VillageCooperative,13,DistrictCenter,31.35916723399516
268,VillageCooperative,13,DistrictCenter,36.47247925512374
269,VillageCooperative,13,DistrictCenter,23.28994498739807
270,VillageCooperative,13,DistrictCenter,27.308004292911946
271,VillageCooperative,13,DistrictCenter,38.247855947557426
272,VillageCooperative,13,DistrictCenter,41.72220113695182
273,VillageCooperative,13,DistrictCenter,37.949864834349846
274,VillageCooperative,18,DistrictCenter,42.823801563052875
277,VillageCooperative,13,DistrictCenter,36.528914405363594
278,VillageCooperative,18,DistrictCenter,21.608557312956258
279,VillageCooperative,13,DistrictCenter,46.876521438909045
279,VillageCooperative,18,DistrictCenter,36.387396049383156
280,VillageCooperative,13,DistrictCenter,47.31401720810471
280,VillageCooperative,18,DistrictCenter,32.37319799530224
281,VillageCooperative,18,DistrictCenter,34.2848968584327
282,VillageCooperative,18,DistrictCenter,33.42781201122394
283,VillageCooperative,18,DistrictCenter,31.92436993366214
284,VillageCooperative,18,DistrictCenter,36.11366209653001
287,VillageCooperative,18,DistrictCenter,20.75252766193103
289,VillageCooperative,18,DistrictCenter,49.40600160497993
290,VillageCooperative,18,DistrictCenter,25.3572146655343
291,VillageCooperative,18,DistrictCenter,29.126259736064053
294,VillageCooperative,18,DistrictCenter,26.500581191814334
295,VillageCooperative,18,DistrictCenter,20.562024712425156
296,VillageCooperative,18,DistrictCenter,24.319937869249316
297,VillageCooperative,18,DistrictCenter,34.82244145988685
298,VillageCooperative,18,DistrictCenter,27.10837420307888
299,VillageCooperative,18,DistrictCenter,21.890665168569257
300,VillageCooperative,18,DistrictCenter,28.572994091703354
301,VillageCooperative,18,DistrictCenter,23.369032421695767
302,VillageCooperative,9,DistrictCenter,23.751472808977727
306,VillageCooperative,13,DistrictCenter,20.10011016845881
308,VillageCooperative,13,DistrictCenter,23.25855566557766
309,VillageCooperative,13,DistrictCenter,23.055734333937735
311,VillageCooperative,13,DistrictCenter,37.20000690422268
311,VillageCooperative,18,DistrictCenter,41.06583560021148
313,VillageCooperative,18,DistrictCenter,39.1649706217815
314,VillageCooperative,18,DistrictCenter,37.3861854348138
315,VillageCooperative,18,DistrictCenter,41.956821428653804
318,VillageCooperative,18,DistrictCenter,44.2688048075531
319,VillageCooperative,9,DistrictCenter,35.75575622096519
320,VillageCooperative,9,DistrictCenter,29.456681921981772
321,VillageCooperative,18,DistrictCenter,46.23845940635805
322,VillageCooperative,18,DistrictCenter,42.218702273190964
323,VillageCooperative,9,DistrictCenter,41.781585473501806
323,VillageCooperative,18,DistrictCenter,47.432849477525686
324,VillageCooperative,9,DistrictCenter,26.375240870025923
325,VillageCooperative,9,DistrictCenter,38.83141479957227
329,VillageCooperative,13,DistrictCenter,30.12464422639943
329,VillageCooperative,18,DistrictCenter,46.92759977445819
331,VillageCooperative,18,DistrictCenter,26.13448935331593
332,VillageCooperative,18,DistrictCenter,25.05494337183075
333,VillageCooperative,18,DistrictCenter,21.954791261243777
336,VillageCooperative,18,DistrictCenter,27.37623487560553
337,VillageCooperative,18,DistrictCenter,26.114487658580746
339,VillageCooperative,18,DistrictCenter,40.842571240942384
340,VillageCooperative,18,DistrictCenter,45.411204437225734
341,VillageCooperative,18,DistrictCenter,37.73934117913724
342,VillageCooperative,18,DistrictCenter,25.917255521184853
344,VillageCooperative,50,DistrictCenter,42.52657502057369
344,VillageCooperative,69,DistrictCenter,40.06747744610088
346,VillageCooperative,18,DistrictCenter,30.203577045387632
348,VillageCooperative,18,DistrictCenter,28.350706996378044
349,VillageCooperative,18,DistrictCenter,23.46291884398146
350,VillageCooperative,18,DistrictCenter,30.428877322596044
