UnitID,UnitType,Pincode,District,State,Latitude,Longitude,Capacity,CapacityUnit,StorageCostPerKg
1,Plant,201001,GHAZIABAD,UTTAR PRADESH,28.6556,77.4277,,,
2,BMC,201001,GHAZIABAD,UTTAR PRADESH,28.6556,77.4277,1000.0,liters,0.275
3,ColdStorage,201001,GHAZIABAD,UTTAR PRADESH,28.6556,77.4277,90230.0,liters,0.138534855369611
4,VillageCooperative,383002,SABAR KANTHA,GUJARAT,23.6093,72.949,1620.0,liters,0.1697530864197531
5,DistrictCenter,383002,SABAR KANTHA,GUJARAT,23.6093,72.949,2566.0,liters,0.10717069368667187
6,BMC,383002,SABAR KANTHA,GUJARAT,23.6093,72.949,1000.0,liters,0.275
7,ColdStorage,383002,SABAR KANTHA,GUJARAT,23.6093,72.949,72910.0,liters,0.17144424633109312
8,VillageCooperative,383422,SABAR KANTHA,GUJARAT,24.336149,73.125996,1763.0,liters,0.15598411798071468
9,DistrictCenter,383422,SABAR KANTHA,GUJARAT,24.336149,73.125996,3829.0,liters,0.07182031862104989
10,BMC,383422,SABAR KANTHA,GUJARAT,24.336149,73.125996,2000.0,liters,0.1375
11,ColdStorage,383422,SABAR KANTHA,GUJARAT,24.336149,73.125996,91963.0,liters,0.1359242303970075
12,VillageCooperative,385320,BANAS KANTHA,GUJARAT,24.228987,71.627956,677.0,liters,0.40620384047267355
13,DistrictCenter,385320,BANAS KANTHA,GUJARAT,24.228987,71.627956,747.0,liters,0.36813922356091033
14,BMC,385320,BANAS KANTHA,GUJARAT,24.228987,71.627956,500.0,liters,0.55
15,ColdStorage,385320,BANAS KANTHA,GUJARAT,24.228987,71.627956,52717.0,liters,0.23711516209192482
16,VillageCooperative,383030,SABAR KANTHA,GUJARAT,23.6007,73.0975,2847.0,liters,0.0965929048120829
17,VillageCooperative,385505,BANAS KANTHA,GUJARAT,24.368737,72.316936,1314.0,liters,0.20928462709284626
18,DistrictCenter,385505,BANAS KANTHA,GUJARAT,24.368737,72.316936,4250.0,liters,0.06470588235294118
19,BMC,385505,BANAS KANTHA,GUJARAT,24.368737,72.316936,200.0,liters,1.375
20,ColdStorage,385505,BANAS KANTHA,GUJARAT,24.368737,72.316936,39994.0,liters,0.31254688203230485
21,VillageCooperative,385535,BANAS KANTHA,GUJARAT,24.385506,71.943767,2728.0,liters,0.10080645161290322
22,VillageCooperative,382315,GANDHINAGAR,GUJARAT,23.191124,72.952012,502.0,liters,0.547808764940239
23,Plant,382315,GANDHINAGAR,GUJARAT,23.191124,72.952012,,,
24,DistrictCenter,382315,GANDHINAGAR,GUJARAT,23.191124,72.952012,4616.0,liters,0.05957538994800693
25,BMC,382315,GANDHINAGAR,GUJARAT,23.191124,72.952012,10000.0,liters,0.0275
26,ColdStorage,382315,GANDHINAGAR,GUJARAT,23.191124,72.952012,86380.0,liters,0.14470942347765686
27,Retail,226001,LUCKNOW,UTTAR PRADESH,26.846695,80.946167,,,
28,Warehouse,226001,LUCKNOW,UTTAR PRADESH,26.846695,80.946167,4157.0,tons,1.8041857108491701
29,VillageCooperative,382122,GANDHINAGAR,GUJARAT,23.2578819,72.4728966,3613.0,liters,0.07611403265983947
30,Plant,382122,GANDHINAGAR,GUJARAT,23.2578819,72.4728966,,,
