Task,Start,Finish,Resource
Reading,01/07/24 0:00,01/07/24 0:42,Day 1
Eating,01/07/24 0:42,01/07/24 1:02,Day 1
Learning Japanese,01/07/24 1:02,01/07/24 1:44,Day 1
Exercise,01/07/24 1:44,01/07/24 2:05,Day 1
Learning Mathematics,01/07/24 2:05,01/07/24 3:44,Day 1
Work,01/07/24 3:44,01/07/24 7:24,Day 1
Sleep,01/07/24 18:00,02/07/24 0:00,Day 1
Eating,02/07/24 0:00,02/07/24 0:30,Day 2
Learning Mathematics,02/07/24 0:30,02/07/24 1:18,Day 2
Reading,02/07/24 1:18,02/07/24 2:00,Day 2
Exercise,02/07/24 2:00,02/07/24 2:21,Day 2
Learning Japanese,02/07/24 2:21,02/07/24 3:03,Day 2
Work,02/07/24 3:03,02/07/24 8:00,Day 2
Sleep,02/07/24 18:00,03/07/24 0:00,Day 2
Eating,03/07/24 0:00,03/07/24 0:20,Day 3
Learning Japanese,03/07/24 0:20,03/07/24 1:02,Day 3
Reading,03/07/24 1:02,03/07/24 1:44,Day 3
Learning Mathematics,03/07/24 1:44,03/07/24 2:26,Day 3
Work,03/07/24 2:26,03/07/24 8:26,Day 3
Exercise,03/07/24 8:26,03/07/24 8:47,Day 3
Sleep,03/07/24 18:00,04/07/24 0:00,Day 3
Eating,04/07/24 0:00,04/07/24 0:30,Day 4
Learning Japanese,04/07/24 0:30,04/07/24 1:12,Day 4
Reading,04/07/24 1:12,04/07/24 2:00,Day 4
Learning Mathematics,04/07/24 2:00,04/07/24 2:42,Day 4
Work,04/07/24 2:42,04/07/24 8:00,Day 4
Exercise,04/07/24 8:00,04/07/24 8:21,Day 4
Sleep,04/07/24 18:00,05/07/24 0:00,Day 4
Exercise,05/07/24 0:00,05/07/24 0:21,Day 5
Learning Japanese,05/07/24 0:21,05/07/24 1:03,Day 5
Reading,05/07/24 1:03,05/07/24 2:00,Day 5
Eating,05/07/24 2:00,05/07/24 2:20,Day 5
Learning Mathematics,05/07/24 2:20,05/07/24 4:00,Day 5
Work,05/07/24 4:00,05/07/24 10:00,Day 5
Sleep,05/07/24 18:00,06/07/24 0:00,Day 5
Eating,06/07/24 0:00,06/07/24 0:30,Day 6
Learning Japanese,06/07/24 0:30,06/07/24 1:12,Day 6
Reading,06/07/24 1:12,06/07/24 2:00,Day 6
Exercise,06/07/24 2:00,06/07/24 2:21,Day 6
Learning Mathematics,06/07/24 2:21,06/07/24 3:24,Day 6
Work,06/07/24 3:24,06/07/24 6:12,Day 6
Sleep,06/07/24 18:00,07/07/24 0:00,Day 6
Eating,07/07/24 0:00,07/07/24 0:30,Day 7
