officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Adilabad H.O,504001,H.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226738,,,,
Mancherial H.O,504208,H.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08736-252003,,,,
Hanamkonda H.O,506001,H.O,Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Hanamkonda,Warangal,TELANGANA,0870-2455240,,,,
Jangaon H.O,506167,H.O,Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Jangaon,Warangal,TELANGANA,08716-222230,,,,
Parkal H.O,506164,H.O,Delivery,Hanamkonda,Hyderabad,Andhra Pradesh,Parkal,Warangal,TELANGANA,08713-241203,,,,
Jagtial H.O,505327,H.O,Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Jagtial,Karim Nagar,TELANGANA,08724-225859,,,,
Karimnagar H.O,505001,H.O,Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Karimnagar,Karim Nagar,TELANGANA,0878-2240290,,,,
Gadwal H.O,509125,H.O,Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Gadwal,Mahabub Nagar,TELANGANA,08546-274877,,,,
Mahabubnagar H.O,509001,H.O,Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Mahabubnagar H.o,Mahabub Nagar,TELANGANA,08542-241205,,,,
Medak H.O,502110,H.O,Delivery,Medak,Hyderabad,Andhra Pradesh,Medak,Medak,TELANGANA,08452-221597,,,,
Siddipet H.O,502103,H.O,Delivery,Medak,Hyderabad,Andhra Pradesh,Siddipet,Medak,TELANGANA,08457-223708,,,,
Bhongir H.O,508116,H.O,Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Bhongiri,Nalgonda,TELANGANA,08685-242585,,,,
Nalgonda H.O,508001,H.O,Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Nalgonda,Nalgonda,TELANGANA,08682-244204,,,,
Armoor H.O,503224,H.O,Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,08463-222338,,,,
Kamareddy H.O,503111,H.O,Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,08468-223322,,,,
Nizamabad H.O,503001,H.O,Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,08462-220038,,,,
Huzurabad H.O,505468,H.O,Delivery,Peddapalli,Hyderabad,Andhra Pradesh,Huzurabad,Karim Nagar,TELANGANA,08727-252030,,,,
Peddapalli H.O,505172,H.O,Delivery,Peddapalli,Hyderabad,Andhra Pradesh,Peddapalli,Karim Nagar,TELANGANA,0878-222093,,,,
Sangareddy H.O,502001,H.O,Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Sangareddy,Medak,TELANGANA,08455-276444,,,,
Zaheerabad H.O,502220,H.O,Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Zaheerabad,Medak,TELANGANA,08451-282210,,,,
Miryalguda H.O,508207,H.O,Delivery,Suryapet,Hyderabad,Andhra Pradesh,Miryalguda,Nalgonda,TELANGANA,08689-242833,,,,
Suryapet H.O,508213,H.O,Delivery,Suryapet,Hyderabad,Andhra Pradesh,Suryapet,Nalgonda,TELANGANA,08684-220037,,,,
Stn. Jadcherla H.O,509301,H.O,Delivery,Wanaparthy,Hyderabad,Andhra Pradesh,Stn. Jadcherla,Mahabub Nagar,TELANGANA,08542-232518,,,,
Wanaparthy H.O,509103,H.O,Delivery,Wanaparthy,Hyderabad,Andhra Pradesh,Wanaparthy,Mahabub Nagar,TELANGANA,08545-232007,,,,
Mahabubabad H.O,506101,H.O,Delivery,Warangal,Hyderabad,Andhra Pradesh,Mahabubabad,Warangal,TELANGANA,08719-240070,,,,
Warangal H.O,506002,H.O,Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,0870-2422701,,,,
Khairatabad H.O,500004,H.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428322,,,,
Hyderabad G.P.O. ,500001,H.O,Delivery,Hyderabad GPO,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463515,,,,
Hyderabad Jubilee H.O,500002,H.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Charminar,Hyderabad,TELANGANA,040-23463822,,,,
Stn Kachiguda H.O,500027,H.O,Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23463811,,,,
Secunderabad H.O,500003,H.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463713,,,,
Trimulgherry H.O,500015,H.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Rangareddy,Hyderabad,TELANGANA,040-23463755,,,,
Vikarabad H.O,501101,H.O,Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Hyd,Hyderabad,TELANGANA,08416-252098,,,,
Anantapur H.O,515001,H.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Anantapur,Ananthapur,ANDHRA PRADESH,08554-274111,,,,
Guntakal H.O,515801,H.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Guntakal,Ananthapur,ANDHRA PRADESH,08552-226444,,,,
